gid,no_cidade,nome_da_nidade,valor,taxa
7616,Palminópolis,<i>Palminópolis</i>,<b>0</b>,0
7965,Ituberá,<i>Ituberá</i>,<b>2</b>,2
5990,Pato Branco,<i>Pato Branco</i>,<b>6</b>,6
10796,Piau,<i>Piau</i>,<b>0</b>,0
11105,João Neiva,<i>João Neiva</i>,<b>1</b>,1
8604,Mesópolis,<i>Mesópolis</i>,<b>0</b>,0
6421,Vitor Meireles,<i>Vitor Meireles</i>,<b>1</b>,1
9488,Ivorá,<i>Ivorá</i>,<b>0</b>,0
6462,Doutor Severiano,<i>Doutor Severiano</i>,<b>0</b>,0
10177,Nova Olinda do Norte,<i>Nova Olinda do Norte</i>,<b>3</b>,3
8291,Américo de Campos,<i>Américo de Campos</i>,<b>1</b>,1
10702,Monjolos,<i>Monjolos</i>,<b>0</b>,0
9845,Terenos,<i>Terenos</i>,<b>1</b>,1
5616,Curralinho,<i>Curralinho</i>,<b>11</b>,11
9305,Barão do Triunfo,<i>Barão do Triunfo</i>,<b>0</b>,0
7046,Paulistana,<i>Paulistana</i>,<b>1</b>,1
8360,Brodowski,<i>Brodowski</i>,<b>3</b>,3
5743,Amaporã,<i>Amaporã</i>,<b>0</b>,0
6152,Armazém,<i>Armazém</i>,<b>0</b>,0
6001,Pinhão,<i>Pinhão</i>,<b>0</b>,0
7902,Governador Mangabeira,<i>Governador Mangabeira</i>,<b>2</b>,2
6623,Bernardino Batista,<i>Bernardino Batista</i>,<b>1</b>,1
6651,Catingueira,<i>Catingueira</i>,<b>0</b>,0
6876,Epitaciolândia,<i>Epitaciolândia</i>,<b>2</b>,2
8138,Simões Filho,<i>Simões Filho</i>,<b>5</b>,5
9421,Herval,<i>Herval</i>,<b>1</b>,1
10627,José Raydan,<i>José Raydan</i>,<b>1</b>,1
10502,Formiga,<i>Formiga</i>,<b>1</b>,1
9643,Santa Vitória do Palmar,<i>Santa Vitória do Palmar</i>,<b>4</b>,4
7856,Central,<i>Central</i>,<b>1</b>,1
9912,Frei Miguelinho,<i>Frei Miguelinho</i>,<b>3</b>,3
6484,Jandaíra,<i>Jandaíra</i>,<b>1</b>,1
